correlation	fl
9.91782947188087e-4	1
9.894505076270728e-4	2
8.775830660004411e-4	3
9.808650499087293e-4	4
0.0010167270995778005	5
9.695485859778252e-4	6
9.991820453012271e-4	7
9.82038445978846e-4	8
9.411226522997439e-4	9
0.001044389023748261	10
9.991824552969873e-4	11
9.723028033484328e-4	12
0.001059598080188704	13
9.695603805487539e-4	14
0.0010011419800966413	15
9.832020148687615e-4	16
9.757888049519393e-4	17
9.859428415366217e-4	18
9.956651795592095e-4	19
0.0010089209641387657	20
0.001033082562202127	21
0.0010323060799632918	22
0.0010252861443730144	23
0.0010946688051638952	24
0.0010252905615202835	25
0.001027630573697373	26
0.0010237373756321827	27
0.0010003538853541256	28
0.0010611526736381547	29
0.0011161263915983961	30
0.0011047865104447795	31
0.0010463445670576836	32
0.001097776291752558	33
0.0010545391349808834	34
0.0011141432501860311	35
0.0011406750327745308	36
0.0011344103721186896	37
0.0010849026815259	38
0.0011410420774785497	39
0.0012205507197023061	40
0.0011336335086821832	41
0.0011266216191830433	42
0.001210026625565631	43
0.0011932616284699024	44
0.0011991074774955978	45
0.001227946094765328	46
0.001243525616257487	47
0.0012150810077137244	48
0.0012665431116130825	49
0.0012942152375695262	50
0.001326942178426209	51
0.0012758780339705543	52
0.0012641875799812878	53
0.0013093833641247105	54
0.0013592641332624432	55
0.0013050699370853872	56
0.0013643462446400803	57
0.0013705595269543622	58
0.001416575497244438	59
0.0013518546411485895	60
0.0013693880605586334	61
0.001445009323409209	62
0.001460619145338278	63
0.0014621589522805013	64
0.001453973536243315	65
0.00157322516129865	66
0.001555690469234132	67
0.0015373714119880505	68
0.001570108886674529	69
0.0016523462371710314	70
0.0016055693252800371	71
0.0015794614288810469	72
0.001608293742169214	73
0.0016500066869106604	74
0.0016367646560253915	75
0.0016651942632307582	76
0.0015829513650348593	77
0.0016768877279547461	78
0.001611026255827458	79
0.0016266256409404132	80
0.0015506120446881295	81
0.001569713799716248	82
0.001547902054615646	83
0.0015206116062732333	84
0.0015007306907473114	85
0.0014481340511366242	86
0.0014496806833605008	87
0.001411909402058228	88
0.0014687909936817	89
0.0014224148239467137	90
0.0013506936023100706	91
0.0014193131301472278	92
0.0013261604473242118	93
0.0013436820482083276	94
0.001379552769587404	95
0.0013608412936076547	96
0.0013300381431722078	97
0.0013865626756917443	98
0.001278222786067926	99
0.0012715991389156982	100
0.00129342018289166	101
0.0013277033422929112	102
0.001295362503528693	103
0.0012567921746773165	104
0.0012345755337909861	105
0.0012287144848633937	106
0.0012778281345307543	107
0.001232203327083771	108
0.0012353650423776769	109
0.0012072948740220392	110
0.0012248461645287564	111
0.0012568050495534904	112
0.0012197684998168279	113
0.0011683270037968487	114
0.0011258352895619425	115
0.0011628493251397073	116
0.001160139001862654	117
0.0011714432274321815	118
0.0012111885855859293	119
0.0012361423795347421	120
0.0011589652895601047	121
0.0011792399760223399	122
0.001174568312607834	123
0.0011940425995751655	124
0.0011266373076508204	125
0.0011531374135991912	126
0.001129362317090284	127
0.001171450200096928	128
0.001201840118928576	129
0.0011854818658710233	130
0.0011624724618514676	131
0.0011878123474962864	132
0.0011597634082010707	133
0.001190148445921368	134
0.001103629826901383	135
0.0011480664807361435	136
0.0010459453938712737	137
0.0010806411496209728	138
0.0011289667090007252	139
0.0011129800139395448	140
0.0011410490108957531	141
0.0011172682250931553	142
0.001053350141506683	143
0.0011511768492866693	144
0.0010595748692696766	145
0.0011449505366602367	146
0.001162875693268238	147
0.0010954365277348753	148
0.0010549045745235173	149
0.0010973821895063527	150
0.0010817967348451345	151
0.0011114120818136158	152
0.001023718311357811	153
0.0010771211032220627	154
0.0011129829816520387	155
0.0010806299974926068	156
0.001116878406094195	157
0.0011184395502771066	158
0.0010665949357567303	159
0.001043985763769994	160
0.0011441625832322717	161
0.0010931020438630149	162
0.0010767310757417682	163
0.0010872581874821628	164
0.0011293363314230076	165
0.0010724542308164185	166
0.0010837666820285685	167
0.0010841260700119309	168
0.0011449356036655081	169
0.0010568407385984607	170
0.0010954522095839364	171
0.0011215604790823775	172
0.0010630910712425175	173
0.001017464691487228	174
0.0010638828129696041	175
0.0010993454391328113	176
0.0010876560097120803	177
0.0010845281616686442	178
0.0010923334158280745	179
0.0010159477587058296	180
0.001070879419353212	181
0.001040480761923776	182
0.001098162583542153	183
0.001068923356298388	184
0.0010767366436059418	185
0.0010708855690068613	186
0.0010892104200283226	187
0.0010977822828878894	188
0.0010790869883568783	189
0.001077108669526869	190
0.0010085373394490879	191
9.601877992090321e-4	192
0.0010864826157553115	193
0.001121167990909744	194
0.0010459317418171196	195
0.0010490659448906007	196
0.0010287815716961803	197
0.0011090860599560952	198
0.001159737257772369	199
0.001043613047939858	200
0.0010704879973681507	201
0.0010467215286931015	202
0.001072447825394603	203
0.0010806376661049882	204
0.0010650409431237219	205
0.001025272145626407	206
0.001082573512284787	207
0.0010845226663830042	208
0.0010244886093709066	209
0.0010740080218525432	210
0.0010938671396069353	211
0.0011324453815546231	212
0.0010190346689928906	213
0.0010385308454260082	214
0.0010564774093660058	215
0.0010794593387844285	216
0.0010046116834358685	217
0.0010077526089837328	218
0.0010295731570317778	219
9.979967978683585e-4	220
0.0010358242910267759	221
0.001029955192655199	222
0.001073994577883892	223
0.001033456505089449	224
0.0010810234506698558	225
0.0010205975808124591	226
0.0010322973257640303	227
0.0010229499325335174	228
0.0010544971461830175	229
0.0010677499067261998	230
0.0011398635991202628	231
0.0010771204786375692	232
0.0010622891980331859	233
0.0010182695630632588	234
0.001062312332901551	235
0.0010802297004881157	236
0.001015147783529859	237
9.695569104692477e-4	238
0.0010225454001523144	239
0.0010876318876025088	240
0.001075154415255531	241
0.001000728880375641	242
0.0010330642039610627	243
0.0010474906497337727	244
0.0010544981260423455	245
9.640859631705803e-4	246
9.995435202108708e-4	247
0.0011004987680688942	248
0.0010198302756921852	249
0.0010545298339889179	250
0.0011110274463695577	251
0.0010584193704045483	252
0.00103736106430053	253
0.0010280062232795638	254
9.843459953542727e-4	255
0.0010451484074232248	256
0.001047880275296322	257
0.0010864842287689642	258
0.0010400884127770697	259
0.00104514877522257	260
0.0010701075492752076	261
9.820101586899685e-4	262
0.0010198220915055044	263
9.890227236638092e-4	264
0.001035438725726649	265
9.734362427101264e-4	266
9.839648916577452e-4	267
0.0010104657579171168	268
0.0010151649679993925	269
0.001013589168601649	270
9.512413339235195e-4	271
0.0010108733790587133	272
0.0010299528924230664	273
9.835788227921054e-4	274
0.001026448455414984	275
0.0010299590377608537	276
0.0010131908800561063	277
0.0010046031109577657	278
0.0010100816215296371	279
9.913752650773512e-4	280
0.0010011174530948181	281
9.792890992243524e-4	282
0.0010712664133538717	283
0.0010264460384547568	284
0.001006568871370631	285
9.99555173335495e-4	286
0.0010206034518378743	287
0.0010619046914477398	288
9.527811201287624e-4	289
9.5589533381603e-4	290
9.886365439871225e-4	291
9.843562555213318e-4	292
9.92532599823619e-4	293
0.00104321114156497	294
0.0010260518571773077	295
0.0010287897603965949	296
0.0011137654768491791	297
0.00102058620543401	298
0.0010155322298760266	299
9.874728990009532e-4	300
9.820041564540059e-4	301
0.0010287960313303235	302
9.847525898446484e-4	303
0.0010108711127225316	304
9.863026645706044e-4	305
0.0010041920136666302	306
9.948791656376103e-4	307
0.0010003201805021253	308
0.0010517857415714535	309
9.984197161655379e-4	310
0.0010260536469451622	311
0.0010431946694678723	312
9.243403596697339e-4	313
0.0010264484746411913	314
9.88641860818417e-4	315
9.51218878552911e-4	316
9.707078719877563e-4	317
0.0010077296004252915	318
9.734355584992494e-4	319
0.0010088954136470176	320
9.913567480964167e-4	321
9.601973052721408e-4	322
9.730561923383352e-4	323
0.001000342110350633	324
0.0010128047599172103	325
0.0010178719828860647	326
9.839540667872708e-4	327
9.629043522847642e-4	328
9.855167895571977e-4	329
9.609733316005565e-4	330
9.562762383168683e-4	331
9.535700081784472e-4	332
9.328973680398211e-4	333
9.7575569371195e-4	334
0.001010065759477222	335
9.897811088876026e-4	336
9.527875955687605e-4	337
9.632863934873858e-4	338
9.765800407604832e-4	339
9.672121104510513e-4	340
9.422567091949652e-4	341
9.921464397787954e-4	342
8.908119072063783e-4	343
9.714711107303195e-4	344
9.367699059412046e-4	345
9.395295386511013e-4	346
9.032926869960556e-4	347
9.734295552415473e-4	348
9.800606352968258e-4	349
9.995493530867486e-4	350
9.95259014010671e-4	351
9.746068421640824e-4	352
9.387571882993176e-4	353
9.344671518615889e-4	354
9.547480564588592e-4	355
9.605770954327146e-4	356
9.258705287760565e-4	357
9.617446000989746e-4	358
9.75789055740354e-4	359
9.512230192131146e-4	360
9.005523035611806e-4	361
9.457725655515062e-4	362
0.001022555151059487	363
9.375838245107513e-4	364
9.266665500483311e-4	365
