correlation	fl
0.06335712633302681	1
0.06294009273162275	2
0.06299224217512656	3
0.06318793967934054	4
0.06337613615530895	5
0.06321920333111343	6
0.0632998071439295	7
0.06339168923905275	8
0.06388314167582597	9
0.06388877948649693	10
0.0638721289720485	11
0.06391572879349178	12
0.06400015204562584	13
0.06391132250862137	14
0.06379397460692411	15
0.06403777936988503	16
0.06410463145290754	17
0.06398409761811595	18
0.06413672488894658	19
0.06442990451612392	20
0.06448608600022672	21
0.06440122399229342	22
0.06443008267012244	23
0.06466691078887213	24
0.06469918753889495	25
0.06474207360801834	26
0.06469348587143012	27
0.06482406836826844	28
0.06500666588427671	29
0.06524258613274292	30
0.06521624817103126	31
0.0651723991802544	32
0.06544609334856466	33
0.065320063330967	34
0.0655904703388245	35
0.06540364754371306	36
0.06558567624174784	37
0.06579461461936875	38
0.06576974327987785	39
0.06600050307412665	40
0.06600377603190377	41
0.0662144550001539	42
0.0661055894624103	43
0.06628173426183591	44
0.06613705836300028	45
0.06636502781894572	46
0.06643569153737713	47
0.06650891317533937	48
0.06668566493188417	49
0.06681094365658091	50
0.06680300375437023	51
0.06706722023639285	52
0.06705393947194951	53
0.06723712112339852	54
0.06723936312870359	55
0.06732771430965925	56
0.06737810552039797	57
0.06779371816873843	58
0.06778490764192818	59
0.06809525755376095	60
0.06824396669119873	61
0.06796175398184734	62
0.06837242144048342	63
0.06851735740363682	64
0.06851175660914618	65
0.0687609923300993	66
0.06868927945578937	67
0.06863391985551925	68
0.06897819395306462	69
0.06908165511037817	70
0.06914417478903183	71
0.06917361317522296	72
0.06916263539175743	73
0.06956807723411314	74
0.06983862511743391	75
0.06954118369128287	76
0.07011018489660416	77
0.07000416828943387	78
0.06996596006239991	79
0.06966597806848311	80
0.07015693648288883	81
0.0701546058935189	82
0.07009866029842775	83
0.07010298165501415	84
0.07029680390787403	85
0.0703855435903136	86
0.07059874384985435	87
0.07034891795063034	88
0.07070697792822729	89
0.07064182935677116	90
0.07066659939763961	91
0.07083642578542787	92
0.07070276358835617	93
0.07078157513829736	94
0.0709037687066394	95
0.07102107468161555	96
0.07111398720932766	97
0.07133781394472893	98
0.0712770942935893	99
0.07119594346781166	100
0.07141477135047189	101
0.07149106323261208	102
0.07137418635089127	103
0.0718681330450205	104
0.07129419324081819	105
0.07188241679640558	106
0.07171324969958359	107
0.07159038396663299	108
0.0721002543713478	109
0.07200539806114967	110
0.07208569898468455	111
0.0722855650603876	112
0.07226920677069226	113
0.07240508360012461	114
0.07253243293668908	115
0.07237675651969507	116
0.07249214283124804	117
0.07252371283240758	118
0.0727954074113551	119
0.07289291563401679	120
0.07292217909926217	121
0.07280048131183392	122
0.07300954800456427	123
0.0730501857779396	124
0.07294585628624749	125
0.0731434675715769	126
0.07308124412182804	127
0.07337805780080833	128
0.07329339385998523	129
0.07357934246443062	130
0.07357608434125161	131
0.07350935490693161	132
0.07342570105629415	133
0.0733962611185804	134
0.07366997568170656	135
0.07363876520031384	136
0.07369237833428133	137
0.07370863865229407	138
0.07404141924753786	139
0.07407231814310394	140
0.07375542872097643	141
0.07406963026905763	142
0.07396142711007804	143
0.07444027432304345	144
0.07425548756108422	145
0.07439629627360264	146
0.07431557708377641	147
0.07430859608216714	148
0.0741396316829945	149
0.07450520808035968	150
0.07462376633089972	151
0.0746714435443906	152
0.07449330806475657	153
0.07464278703866911	154
0.07438703385973709	155
0.07466836061761259	156
0.07459293250975296	157
0.07472055906766241	158
0.07457778444902376	159
0.07475427296812502	160
0.07490390419055215	161
0.07483354336732599	162
0.07488072539236493	163
0.07499032517469661	164
0.07493730149734144	165
0.0749821168543899	166
0.07513379367110397	167
0.07510781570323861	168
0.07522422589339989	169
0.07529148686132317	170
0.07516063049422064	171
0.0753144776437138	172
0.07517207297404487	173
0.07537728544035172	174
0.07574185673495984	175
0.07537147359114803	176
0.07531603638253889	177
0.07537789223174378	178
0.0754352491248068	179
0.0755529375378383	180
0.0755476176670671	181
0.07558065448758461	182
0.07523221230340063	183
0.07543213310370839	184
0.07553170061404002	185
0.07531194514595108	186
0.07549842924762892	187
0.07558630626472808	188
0.07585016778846965	189
0.07563798328154002	190
0.07559931788652388	191
0.0754527692723792	192
0.07552280424763627	193
0.07582228384724925	194
0.0757144175980728	195
0.07538676131385082	196
0.07560700893097627	197
0.07536129922742003	198
